source_case_id,modality,generated_zero_fraction,reference_zero_fraction,generated_largest_zero_component_fraction,reference_largest_zero_component_fraction,generated_boundary_gradient,reference_boundary_gradient,boundary_gradient_ratio,generated_laplacian,reference_laplacian,laplacian_ratio,generated_z_gradient,reference_z_gradient,z_gradient_ratio,generated_repeated_adjacent_z_slices,reference_repeated_adjacent_z_slices,generated_extreme_zscore_fraction,support_size_x,support_size_y,support_size_z,artifact_flag_count,artifact_flags
BraTS-MET-00577-001,t1c,0.0,0.0019696231319038335,0.0,0.0018477907732293696,11.878038608338409,13.98991983799543,0.8490426496997265,0.9824861884117126,1.0774017572402954,0.9119032726735997,0.3503162705085494,0.5203236382115971,0.673266107441554,0,0,6.0916179337231965e-05,115,264,43,1,large_tiled_support
BraTS-MET-00577-001,t1n,0.0,0.0019696231319038335,0.0,0.0018477907732293696,13.520544053203329,16.30365605835592,0.82929522094977,0.7115885615348816,0.5581562519073486,1.2748913213875495,0.27987090701406653,0.31890267827971414,0.8776060098453853,0,0,0.0,115,264,43,1,large_tiled_support
BraTS-MET-00577-001,t2w,0.0,0.0020914554905782975,0.0,0.002050844704353476,10.552995288786416,15.554601530396098,0.6784484493649182,0.491312175989151,0.6305397152900696,0.7791930691679442,0.19589195485142144,0.40538164566863666,0.4832284760409346,0,0,0.0,115,264,43,1,large_tiled_support
BraTS-MET-00577-001,t2f,0.0,0.0019696231319038335,0.0,0.0018477907732293696,13.370442154535356,11.840109638679882,1.129249860225627,0.7058441638946533,0.4555410146713257,1.5494634756519612,0.24529947475953537,0.28743476877835666,0.8534091954223111,0,0,0.0,115,264,43,1,large_tiled_support
BraTS-MET-00613-000,t1c,0.0,0.06400334658021334,0.0,0.06386390573799065,12.548897177627442,13.60956865380698,0.9220642840959667,0.938819169998169,1.3327680826187134,0.7044130049644596,0.321475005020266,0.4802600012525268,0.6693770128302448,0,0,0.0,44,49,73,1,large_tiled_support
BraTS-MET-00613-000,t1n,0.0,0.06400334658021334,0.0,0.06386390573799065,12.877096505652794,15.005089162477626,0.8581819385554748,0.5745681524276733,0.9154367446899414,0.6276437512045463,0.2041693299036959,0.3796413895552573,0.5377952339255644,0,0,0.0,44,49,73,1,large_tiled_support
BraTS-MET-00613-000,t2w,0.0,0.05180227288572823,0.0,0.05173255246461689,10.01106519504992,14.41528183214337,0.6944758563600973,0.4559099078178406,0.973623514175415,0.4682609871064603,0.2015086451302404,0.42566698060735414,0.4733950583686852,0,0,0.0,44,49,73,1,large_tiled_support
BraTS-MET-00613-000,t2f,0.0,0.06400334658021334,0.0,0.06386390573799065,10.523274273941114,12.97642366765033,0.8109533522842035,0.6670545935630798,1.1198081970214844,0.5956864714308587,0.19576207694152128,0.3490165141613587,0.5608963157858364,0,0,0.0,44,49,73,1,large_tiled_support
BraTS-MET-00613-001,t1c,0.0,0.40684469709096815,0.0,0.40684440065027233,10.011637332259353,6.085406427611802,1.6451879511009733,0.9191681146621704,0.5625369548797607,1.633969300485579,0.34775901048682456,0.2944016385563584,1.1812400643967602,0,2,0.00035632171641534425,260,313,92,1,large_tiled_support
BraTS-MET-00613-001,t1n,0.0,0.40684440065027233,0.0,0.40684440065027233,10.900686659290853,6.258184681464842,1.741828855191175,0.7616955637931824,0.23949608206748962,3.1804092877750616,0.27407431645795355,0.17022170971126058,1.6101020070991736,0,2,5.928813917060636e-07,260,313,92,2,high_frequency_shift;large_tiled_support
BraTS-MET-00613-001,t2w,8.893220875590955e-07,0.39719762752582294,2.964406958530318e-07,0.3971848805759013,9.763852958618498,6.009134775411924,1.6248350758531938,0.5987823605537415,0.3205226957798004,1.8681434058732174,0.2554792161424493,0.22427730407392563,1.1391220221651985,0,2,5.928813917060636e-07,260,313,92,1,large_tiled_support
BraTS-MET-00613-001,t2f,0.0,0.40684440065027233,0.0,0.40684440065027233,11.201506535407052,4.607707436213562,2.431036842176773,0.6662781238555908,0.20800016820430756,3.203257620451254,0.24644048719905143,0.14804862566335603,1.6645915225138674,0,2,0.0,260,313,92,2,high_frequency_shift;large_tiled_support
BraTS-MET-00625-000,t1c,0.0,0.0,0.0,0.0,10.122858642874904,15.626039630336546,0.6478198495812264,0.7757502794265747,1.1874562501907349,0.6532874615818225,0.2914268502662348,0.3336094572793606,0.8735569208465138,0,0,0.0,29,18,92,1,large_tiled_support
BraTS-MET-00625-000,t1n,0.0,0.0,0.0,0.0,14.997860522913284,16.0909762719464,0.9320665365134561,0.7717767357826233,1.0384122133255005,0.7432277142725615,0.3277656394381856,0.21217907393394514,1.5447594965949587,0,0,0.0,29,18,92,1,large_tiled_support
BraTS-MET-00625-000,t2w,0.0,0.0,0.0,0.0,8.86771263699503,17.751789764474882,0.49953907491295413,0.5074453949928284,0.7985242009162903,0.6354790429777145,0.17684765229391497,0.3023451585755792,0.5849197424793796,0,0,0.0,29,18,92,1,large_tiled_support
BraTS-MET-00625-000,t2f,0.0,0.0,0.0,0.0,8.845311589814028,16.020017768974657,0.5521411846960868,0.574825644493103,1.2583736181259155,0.45680045752165854,0.15174027489021766,0.23769936398711317,0.6383705549100427,0,0,0.0,29,18,92,1,large_tiled_support
BraTS-MET-00663-000,t1c,0.0,0.08900658915242553,0.0,0.0400121972238058,10.653216137926364,14.078382759612952,0.7567073803737985,0.7767010927200317,1.1920689344406128,0.6515571962996456,0.2849250750227289,0.3919506526582844,0.7269411929545531,0,0,6.628925981412492e-06,80,119,90,1,large_tiled_support
