subject,modality,delta_whole_SSIM,delta_tumor_SSIM,delta_tumor_MSE
BraTS-MET-01109-003,t1c,-0.013466596603393555,0.004421710968017578,-0.0003580390475690365
BraTS-MET-01109-003,t2w,-0.00932997465133667,0.010686933994293213,-0.00037855072878301144
BraTS-MET-01109-003,t2f,-0.016877472400665283,-0.00659024715423584,-0.00041793176205828786
BraTS-MET-01117-001,t1n,-0.02196979522705078,0.0009377598762512207,-6.143245263956487e-05
BraTS-MET-01117-001,t1c,0.0004126429557800293,0.004242897033691406,-0.00042533816304057837
BraTS-MET-01117-001,t2w,-0.004596710205078125,0.002829134464263916,-2.0317966118454933e-06
BraTS-MET-01117-001,t2f,-0.008273720741271973,-0.0011785030364990234,-1.7308193491771817e-05
BraTS-MET-01117-002,t1n,-0.009054124355316162,-0.0033034682273864746,-1.3318614946911111e-05
BraTS-MET-01117-002,t1c,-0.004370927810668945,-0.00024753808975219727,4.851783160120249e-05
BraTS-MET-01117-002,t2w,-0.006833136081695557,-0.006932258605957031,-9.039160795509815e-05
BraTS-MET-01117-002,t2f,-0.0069435834884643555,-0.008719086647033691,6.692421811749227e-05
BraTS-MET-01117-003,t1n,-0.006517589092254639,-0.006517589092254639,-3.7781515857204795e-05
BraTS-MET-01117-003,t1c,-0.0026507973670959473,-0.0026507973670959473,-8.825457189232111e-05
BraTS-MET-01117-003,t2w,-0.00747758150100708,-0.00747758150100708,1.803506165742874e-05
BraTS-MET-01117-003,t2f,-0.009689569473266602,-0.009689569473266602,4.052658914588392e-05
BraTS-MET-01119-000,t1n,-0.018421590328216553,-0.0028472542762756348,4.096978227607906e-05
BraTS-MET-01119-000,t1c,-6.395578384399414e-05,0.018526732921600342,0.00012428362970240414
BraTS-MET-01119-000,t2w,-0.010979831218719482,0.0014238357543945312,-0.00017273274715989828
BraTS-MET-01119-000,t2f,-0.02224898338317871,-0.001293480396270752,-1.2125703506171703e-05
BraTS-MET-01119-001,t1n,-0.01656043529510498,-0.001048743724822998,2.8338705305941403e-05
BraTS-MET-01119-001,t1c,-0.0073320865631103516,0.003570079803466797,-0.00016335974214598536
BraTS-MET-01119-001,t2w,-0.010723471641540527,-0.0005500316619873047,-0.00015160685870796442
BraTS-MET-01119-001,t2f,-0.015179157257080078,-0.003582298755645752,-9.9543685792014e-06
BraTS-MET-01119-003,t1n,-0.02220010757446289,0.0022199153900146484,0.00017245838535018265
BraTS-MET-01119-003,t1c,-0.009251952171325684,0.0003439784049987793,-0.00014044821728020906
BraTS-MET-01119-003,t2w,-0.009876132011413574,0.0007219910621643066,-0.00017174542881548405
BraTS-MET-01119-003,t2f,-0.016215384006500244,-0.0027112364768981934,-2.1036452380940318e-05
BraTS-MET-01134-000,t1n,-0.0013344287872314453,0.04692661762237549,-0.00013519037747755647
BraTS-MET-01134-000,t1c,0.021550655364990234,0.3011971116065979,-0.027661876752972603
BraTS-MET-01134-000,t2w,0.005023300647735596,0.22925758361816406,-0.020950594916939735
BraTS-MET-01134-000,t2f,-0.0018240809440612793,0.050414979457855225,-0.0007379404851235449
BraTS-MET-01134-003,t1n,0.00039708614349365234,0.05309581756591797,0.0016026950906962156
BraTS-MET-01134-003,t1c,0.008821964263916016,0.21796125173568726,-0.01609586924314499
BraTS-MET-01134-003,t2w,0.003189682960510254,0.14068138599395752,-0.02685923338867724
BraTS-MET-01134-003,t2f,-0.00032383203506469727,0.010897636413574219,-0.0016774047398939729
